Feature,Mean |SHAP|
MDVP:Fo(Hz),0.07736827798829608
PPE,0.07321706651302348
RPDE,0.07269828670955374
spread2,0.06665210460140956
spread1,0.04523257037005736
MDVP:Fhi(Hz),0.03929540686026748
MDVP:APQ,0.023077937529031103
MDVP:Flo(Hz),0.020737778084285372
MDVP:Jitter(Abs),0.01786557154029101
DFA,0.014920751958706872
MDVP:Jitter(%),0.014036670787106804
NHR,0.012536451686807379
D2,0.011742538446914337
Shimmer:DDA,0.007935625905403459
HNR,0.007022585134909869
MDVP:Shimmer(dB),0.005375852789482845
MDVP:PPQ,0.004862312286555822
Shimmer:APQ5,0.004829247583973164
Shimmer:APQ3,0.0036044777448826677
MDVP:RAP,0.003321123631231621
Jitter:DDP,0.0031024889571453934
MDVP:Shimmer,0.0021043131494031687
